playerId,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4429173,0,0,0,1,0,0,1,,,,,,,,19.0,19,1,0,19,,,,,,,,,,,,,,,4.0,4,1,0,4,,,,,,,68,28,2,447,16.0,5,7,0,20,4.0
4429177,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429179,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,333,204,6,0.613,25,2769,8.3,,,,,,1,37,1,0,37,37.0,,,,,,25,17,0,-94,-3.8
4429183,2,0,0,2,1,0,3,,,,22.8,4,2,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,9,2,134,14.9,36,34,3,181,5.0
4429190,0,6,12.5,38,0,17.5,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429191,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,198,120,5,0.606,4,1046,5.3,,,,,,0,40,3,3,110,36.7,,,,,,36,10,1,-38,-1.1
4429192,0,0,0,2,0,0,2,,,,13.0,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,5,5.0,,,,,
4429209,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,-4,-4.0
4429212,0,0,0,1,0,0,2,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,0,70,7.0,63,29,2,267,4.2
4429217,0,0,0,2,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429250,1,0,1,12,0,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-25,0
4429255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,0,15,7.5,,,,,
4429256,5,0,1,28,0,1.5,42,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429279,0,0,2,7,0,3.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429289,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429325,0,2,0,9,0,0.5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429371,0,1,0,1,0,1.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429385,1,1,0,17,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429387,5,1,0,35,0,3.5,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429406,0,0,0,10,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,0,36,9.0,,,,,
4429446,0,1,0,6,0,0.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,5,5.0,,,,,
4429463,,,,,,,,3,2,0,,,,,,,,,,,,,,,,,138,85,2,0.616,9,1130,8.2,,,,,,,,,,,,,,,,,56,42,0,277,4.9
4429517,5,0,0,9,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429531,1,4,0.5,10,0,3.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429552,0,0,0,2,0,0,3,,,,,,,,20.2,58,9,0,182,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,3,3.0,,,,,
4429556,6,0,0,25,0,1,31,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429557,0,0,1,2,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429582,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,412,284,1,0.689,28,3441,8.4,,,,,,,,,,,,,,,,,47,38,3,131,2.8
4429694,1,0,0.5,35,0,1.5,51,,,,0.0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429725,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429730,0,0,1,5,0,2.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429746,3,1,0,55,0,2,85,,,,23.0,1,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429762,4,0,1,36,1,3,48,,,,26.0,2,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429768,0,0,0,8,0,0.5,18,,,,3.0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429771,0,2,0.5,26,0,0.5,53,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429774,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429778,0,1,1,20,0,4.0,31,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429779,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,0,12,6.0,,,,,
4429801,0,0,0,0,0,0,1,6,1,0,,,,,,,,,,,,,,,,,320,207,9,0.647,21,2515,7.9,,,,,,,,,,,,,,,,,46,35,4,144,3.1
4429804,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0.500,1,42,21.0,,,,,,,,,,,,41,3,0,52,17.3,3,14,1,12,4.0
4429841,0,1,0.5,4,0,0.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429881,1,2,0,6,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429920,1,6,3.5,12,0,4.0,17,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429921,1,0,0,4,0,0,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429922,,,,,,,,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,14,0,178,12.7,103,27,5,430,4.2
4429960,0,0,0.5,4,0,1.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4429965,0,2,7.5,21,0,10.0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
