,season,id,name,position,team,conference,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns
920,2024,4608003,Onuma Dieke,WR,Elon,,0.062,0.129,0.0,0.059,0.074,0.038,0.055,0.076
921,2024,4608450,Taylor Thompson,TE,James Madison,SBC,0.043,0.093,0.0,0.054,0.021,0.054,0.044,0.04
922,2024,4608520,Sam Olson,TE,Arizona,B12,0.028,0.045,0.0,0.022,0.024,0.05,0.029,0.026
923,2024,4608605,Nick Miles,TE,Wyoming,MWC,0.017,0.037,0.0,0.018,0.024,0.011,0.011,0.029
924,2024,4608606,Tyson Mobley,WR,Liberty,CUSA,0.047,0.118,0.0,0.05,0.032,0.054,0.045,0.052
925,2024,4608607,Lincoln Pare,RB,Texas State,SBC,0.131,0.033,0.217,0.135,0.117,0.13,0.157,0.065
926,2024,4608679,Will Sheppard,WR,Colorado,B12,0.067,0.104,0.003,0.081,0.064,0.032,0.067,0.065
927,2024,4608686,Kyle Monangai,RB,Rutgers,B1G,0.349,0.042,0.596,0.387,0.358,0.285,0.405,0.205
928,2024,4608691,Maximilian Mang,TE,Syracuse,ACC,0.016,0.027,0.0,0.0,0.05,0.0,0.0,0.067
929,2024,4608772,Brian Brewton,RB,Middle Tennessee,CUSA,0.027,0.049,0.0,0.034,0.038,0.0,0.042,0.0
930,2024,4608773,Darius Bush,WR,Georgia State,SBC,0.014,0.02,0.0,0.032,0.0,0.0,0.02,0.0
931,2024,4608793,Jabre Barber,WR,Texas A&M,SEC,0.067,0.132,0.019,0.058,0.045,0.127,0.057,0.087
932,2024,4608801,Nae'Saan Dickerson,WR,Grambling,,0.028,0.049,0.0,0.02,0.029,0.043,0.015,0.049
933,2024,4608810,Tez Johnson,WR,Oregon,B1G,0.104,0.207,0.002,0.084,0.111,0.136,0.086,0.153
934,2024,4608853,Peter Montini,TE,Colorado State,MWC,0.021,0.033,0.011,0.021,0.028,0.014,0.022,0.019
935,2024,4608858,Dan Villari,TE,Syracuse,ACC,0.036,0.024,0.057,0.041,0.023,0.037,0.04,0.028
936,2024,4608859,Dylan Walker,TE,UAlbany,,0.019,0.03,0.0,0.043,0.0,0.0,0.025,0.0
937,2024,4608922,Braydon Bennett,RB,Coastal Carolina,SBC,0.215,0.082,0.319,0.244,0.248,0.107,0.245,0.155
938,2024,4609096,Matthew Akuchie,WR,William & Mary,,0.041,0.143,0.0,0.045,0.0,0.1,0.028,0.077
939,2024,4610011,Tar'Varish Dawson Jr.,WR,Jacksonville State,CUSA,0.015,0.03,0.0,0.034,0.0,0.0,0.022,0.0
940,2024,4610131,Parker Navarro,QB,Ohio,MAC,0.526,0.906,0.274,0.484,0.52,0.652,0.491,0.613
941,2024,4610703,Jalen White,RB,Georgia Southern,SBC,0.211,0.05,0.391,0.251,0.223,0.106,0.239,0.15
942,2024,4611516,Holden Willis,TE,Middle Tennessee,CUSA,0.077,0.126,0.004,0.084,0.05,0.11,0.08,0.071
943,2024,4611985,Zyell Griffin,WR,Eastern Michigan,MAC,0.023,0.044,0.0,0.011,0.014,0.06,0.007,0.056
944,2024,4611995,Jamal Haynes,RB,Georgia Tech,ACC,0.217,0.07,0.345,0.273,0.202,0.112,0.257,0.118
945,2024,4612078,JaCobian Morgan,QB,Jackson State,,0.661,0.969,0.238,0.609,0.688,0.8,0.588,0.773
946,2024,4612189,Kadinn Morris,TE,Western Michigan,MAC,0.018,0.04,0.0,0.0,0.0,0.05,0.013,0.026
947,2024,4612211,Jaison Patterson,RB,Bowling Green,MAC,0.13,0.029,0.243,0.146,0.115,0.124,0.145,0.099
948,2024,4612246,Sahmir Hagans,WR,Duke,ACC,0.068,0.117,0.005,0.051,0.069,0.101,0.055,0.094
949,2024,4612297,Markeston Douglas,TE,Arizona State,B12,0.013,0.048,0.0,0.0,0.04,0.0,0.0,0.048
950,2024,4612350,Donovan Eaglin,RB,Alabama A&M,,0.219,0.037,0.396,0.266,0.199,0.161,0.261,0.119
951,2024,4612411,Chase Penry,WR,Boise State,MWC,0.033,0.074,0.0,0.01,0.036,0.091,0.016,0.079
952,2024,4612558,Anderson Castle,RB,App State,SBC,0.104,0.048,0.16,0.123,0.113,0.063,0.111,0.092
953,2024,4612824,Broc Lane,TE,Utah State,MWC,0.039,0.067,0.0,0.032,0.052,0.042,0.033,0.053
954,2024,4612845,Malik Cooper,WR,Wagner,,0.039,0.047,0.033,0.018,0.04,0.081,0.037,0.043
