homeTeam,awayTeam,spread,formattedSpread,homeScore,awayScore,win_margin,cover_margin,spread_result
Oregon,Montana State,-28.0,Oregon -28.0,59.0,13.0,46.0,18.0,Oregon covered
Oregon,Montana State,-28.5,Oregon -28.5,59.0,13.0,46.0,17.5,Oregon covered
Syracuse,UConn,-7.0,Syracuse -7.0,27.0,20.0,7.0,0.0,Syracuse did NOT cover
Syracuse,UConn,-7.5,Syracuse -7.5,27.0,20.0,7.0,-0.5,Syracuse did NOT cover
SMU,Baylor,-3.0,SMU -3.0,45.0,48.0,-3.0,-6.0,SMU did NOT cover | OUTRIGHT UNDERDOG WIN: Baylor
SMU,Baylor,-2.5,SMU -2.5,45.0,48.0,-3.0,-5.5,SMU did NOT cover | OUTRIGHT UNDERDOG WIN: Baylor
Duke,Illinois,2.5,Illinois -2.5,19.0,45.0,26.0,23.5,Illinois covered
Duke,Illinois,2.5,Illinois -2.5,19.0,45.0,26.0,23.5,Illinois covered
Penn State,Florida International,-42.0,Penn State -42.0,34.0,0.0,34.0,-8.0,Penn State did NOT cover
Penn State,Florida International,-41.5,Penn State -41.5,34.0,0.0,34.0,-7.5,Penn State did NOT cover
Florida,South Florida,-18.5,Florida -18.5,16.0,18.0,-2.0,-20.5,Florida did NOT cover | OUTRIGHT UNDERDOG WIN: South Florida
Florida,South Florida,-18.5,Florida -18.5,16.0,18.0,-2.0,-20.5,Florida did NOT cover | OUTRIGHT UNDERDOG WIN: South Florida
Colgate,Monmouth,14.5,Monmouth -14.5,39.0,42.0,3.0,-11.5,Monmouth did NOT cover
Army,Tarleton State,-14.5,Army -14.5,27.0,30.0,-3.0,-17.5,Army did NOT cover | OUTRIGHT UNDERDOG WIN: Tarleton State
Army,Tarleton State,-14.0,Army -14.0,27.0,30.0,-3.0,-17.0,Army did NOT cover | OUTRIGHT UNDERDOG WIN: Tarleton State
UConn,Central Connecticut,-29.5,UConn -29.5,59.0,13.0,46.0,16.5,UConn covered
UConn,Central Connecticut,-28.0,UConn -28.0,59.0,13.0,46.0,18.0,UConn covered
Kansas State,Iowa State,-2.5,Kansas State -2.5,21.0,24.0,-3.0,-5.5,Kansas State did NOT cover | OUTRIGHT UNDERDOG WIN: Iowa State
Kansas State,Iowa State,-3.5,Kansas State -3.5,21.0,24.0,-3.0,-6.5,Kansas State did NOT cover | OUTRIGHT UNDERDOG WIN: Iowa State
Kansas State,Iowa State,-3.0,Kansas State -3.0,21.0,24.0,-3.0,-6.0,Kansas State did NOT cover | OUTRIGHT UNDERDOG WIN: Iowa State
Delaware,Delaware State,-30.5,Delaware -30.5,35.0,17.0,18.0,-12.5,Delaware did NOT cover
Delaware,Delaware State,-30.5,Delaware -30.5,35.0,17.0,18.0,-12.5,Delaware did NOT cover
Navy,VMI,-42.5,Navy -42.5,52.0,7.0,45.0,2.5,Navy covered
Navy,VMI,-42.0,Navy -42.0,52.0,7.0,45.0,3.0,Navy covered
Michigan State,Boston College,-3.5,Michigan State -3.5,42.0,40.0,2.0,-1.5,Michigan State did NOT cover
Michigan State,Boston College,-3.5,Michigan State -3.5,42.0,40.0,2.0,-1.5,Michigan State did NOT cover
