gameId,offense,defense,final_offense_score,final_defense_score,total_yards,total_plays,penalties,turnovers,explosives,third_down_attempts,third_down_success,fourth_down_attempts,fourth_down_success,total_ppa,avg_ppa,win
401767634,Allen,Morehead State,31,38,732,95,6,0,10,12,5,7,3,19.77023247531683,0.2784539785255892,0
401767634,Morehead State,Allen,38,31,478,74,3,0,9,9,3,6,1,21.852013634678762,0.42847085558193654,1
401767651,Stetson,Webber International,21,31,622,89,3,4,10,16,7,8,4,-10.420597845416998,-0.1353324395508701,0
401767651,Webber International,Stetson,31,21,356,74,1,2,3,14,5,7,2,2.84333637591815,0.048192141964714406,1
401767655,Valparaiso,Virginia University Of Lynchburg,67,10,634,83,8,1,11,10,5,6,2,14.189004887770974,0.26771707335416933,1
401767655,Virginia University Of Lynchburg,Valparaiso,10,67,358,88,12,3,9,18,3,14,2,-20.793338625067353,-0.37130961830477416,0
401767657,Sacred Heart,Stonehill,12,7,348,80,4,1,4,14,7,9,3,0.16569791781178544,0.00263012567955215,1
401767657,Stonehill,Sacred Heart,7,12,330,85,5,1,3,14,1,13,5,1.6569129747164881,0.026300205947880764,0
401767732,Lehigh,Richmond,21,14,476,83,5,2,5,16,7,8,4,7.818706197678333,0.12028778765658973,1
401767732,Richmond,Lehigh,14,21,211,67,3,1,3,14,4,9,3,-2.582600694932417,-0.050639229312400336,0
401779329,Marist,New Haven,38,14,569,92,10,2,11,18,5,13,7,1.9369745921816803,0.031241525680349682,1
401779329,New Haven,Marist,14,38,529,91,3,1,7,17,7,8,2,1.9485745136728045,0.026332088022605466,0
401788977,Grambling,Langston University,85,7,491,95,3,1,6,14,6,7,1,27.694676624589555,0.3550599567255071,1
401788977,Langston University,Grambling,7,72,163,69,4,3,4,18,3,10,3,-14.086494280272044,-0.26086100519022304,0
