,season,week,seasonType,id,name,position,team,opponent,averagePPA.all,averagePPA.pass,averagePPA.rush
1029,2024,1,regular,4683412,Marquis Shoulders,WR,Houston,UNLV,0.205,0.32,0.089
1030,2024,1,regular,4685237,Michael Allen,RB,UNLV,Houston,0.12,,0.12
1031,2024,1,regular,4690977,Donovan Smith,QB,Houston,UNLV,-0.36,-0.397,-0.149
1032,2024,1,regular,4695904,Matthew Sluka,QB,UNLV,Houston,0.21,-0.059,0.586
1033,2024,1,regular,4702830,Stephon Johnson Jr.,WR,Houston,UNLV,0.424,0.533,0.097
1034,2024,1,regular,4870518,Zeon Chriss,QB,Houston,UNLV,-0.159,,-0.159
1035,2024,1,regular,4871059,Jonah Wilson,WR,Houston,UNLV,0.438,0.438,
1036,2024,1,regular,4877647,Kylin James,RB,UNLV,Houston,0.105,,0.105
1037,2024,1,regular,4881836,Mekhi Mews,WR,Houston,UNLV,0.723,0.723,
1038,2024,1,regular,4923290,Parker Jenkins,RB,Houston,UNLV,0.163,-0.07,0.397
1039,2024,1,regular,5078223,Re'Shaun Sanford II,RB,Houston,UNLV,0.308,0.396,0.242
1040,2024,1,regular,5125754,Jai'Den Thomas,RB,UNLV,Houston,-0.718,,-0.718
1041,2024,1,regular,5125768,DeAngelo Irvin Jr.,WR,UNLV,Houston,0.809,3.175,-0.374
1042,2024,1,regular,5146728,Koby Young,WR,Houston,UNLV,0.139,0.139,
1043,2024,1,regular,5149908,Greg Burrell,RB,UNLV,Houston,-0.094,,-0.094
1044,2024,1,regular,5150645,Ui Ale,QB,Houston,UNLV,0.593,0.679,-0.093
1045,2024,1,regular,5155179,Jacob De Jesus,WR,UNLV,Houston,0.576,1.788,-0.636
1046,2024,1,regular,4427313,Ta'Quan Roberson,QB,Kansas State,UT Martin,-0.793,-0.793,
1047,2024,1,regular,4431537,Trevonte Rucker,WR,UT Martin,Kansas State,2.082,4.557,-0.393
1048,2024,1,regular,4567241,Kinkead Dent,QB,UT Martin,Kansas State,-0.028,0.172,-0.667
1049,2024,1,regular,4567244,Jadon Jackson,WR,Kansas State,UT Martin,1.113,,1.113
1050,2024,1,regular,4575936,Airius Trice,WR,UT Martin,Kansas State,0.159,0.159,
1051,2024,1,regular,4682688,Kaiya Sheron,QB,UT Martin,Kansas State,0.127,0.095,0.175
1052,2024,1,regular,4683219,Patrick Smith,RB,UT Martin,Kansas State,-0.265,,-0.265
1053,2024,1,regular,4683237,Keagan Johnson,WR,Kansas State,UT Martin,0.366,0.366,
1054,2024,1,regular,4694701,Rashad Raymond,RB,UT Martin,Kansas State,-0.166,-0.14,-0.172
1055,2024,1,regular,4736246,Jacob Knuth,QB,Kansas State,UT Martin,1.59,0.628,2.552
1056,2024,1,regular,4869442,Brayden Loftin,TE,Kansas State,UT Martin,1.424,1.424,
1057,2024,1,regular,4870857,Avery Johnson,QB,Kansas State,UT Martin,0.165,0.016,1.207
1058,2024,1,regular,4874509,DJ Giddens,RB,Kansas State,UT Martin,0.346,-0.336,0.503
1059,2024,1,regular,4877547,DeVonte Tanksley,WR,UT Martin,Kansas State,0.799,1.759,-1.121
1060,2024,1,regular,4891198,Tre Spivey,WR,Kansas State,UT Martin,0.514,0.514,
1061,2024,1,regular,4918414,Dylan Edwards,RB,Kansas State,UT Martin,1.049,1.195,0.991
1062,2024,1,regular,5078916,Joe Jackson,RB,Kansas State,UT Martin,0.208,,0.208
1063,2024,1,regular,5081919,La'James White,RB,Kansas State,UT Martin,2.004,,2.004
1064,2024,1,regular,5092954,Max Dowling,TE,UT Martin,Kansas State,0.01,0.01,
1065,2024,1,regular,5121334,Jayce Brown,WR,Kansas State,UT Martin,0.802,0.802,
