,id,season,seasonType,week,startDate,homeTeam,homeConference,homeClassification,homeScore,awayTeam,awayConference,awayClassification,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline,0
734,401636926,2024,regular,12,2024-11-17T01:00:00.000Z,Iowa State,Big 12,fbs,34.0,Cincinnati,Big 12,fbs,17.0,DraftKings,-7.0,Iowa State -7,-7.5,52.5,,-265.0,215.0,
735,401636926,2024,regular,12,2024-11-17T01:00:00.000Z,Iowa State,Big 12,fbs,34.0,Cincinnati,Big 12,fbs,17.0,Bovada,-7.0,Iowa State -7.0,-10.0,52.5,53.5,-370.0,285.0,
736,401636926,2024,regular,12,2024-11-17T01:00:00.000Z,Iowa State,Big 12,fbs,34.0,Cincinnati,Big 12,fbs,17.0,ESPN Bet,-7.5,Iowa State -7.5,-9.0,52.5,53.5,-270.0,220.0,
737,401634189,2024,regular,13,2024-11-23T20:00:00.000Z,Missouri State,MVFC,fcs,9.0,South Dakota State,MVFC,fcs,45.0,ESPN Bet,14.5,South Dakota State -14.5,,58.5,,,,
738,401635624,2024,regular,14,2024-11-30T20:30:00.000Z,North Carolina,ACC,fbs,30.0,NC State,ACC,fbs,35.0,ESPN Bet,-2.5,North Carolina -2.5,-3.5,54.5,55.5,-125.0,105.0,
739,401635624,2024,regular,14,2024-11-30T20:30:00.000Z,North Carolina,ACC,fbs,30.0,NC State,ACC,fbs,35.0,Bovada,-2.0,North Carolina -2.0,-3.5,53.5,55.5,-175.0,150.0,
740,401635624,2024,regular,14,2024-11-30T20:30:00.000Z,North Carolina,ACC,fbs,30.0,NC State,ACC,fbs,35.0,DraftKings,-2.0,North Carolina -2,4.0,54.5,,-125.0,105.0,
741,401635580,2024,regular,12,2024-11-16T20:30:00.000Z,SMU,ACC,fbs,38.0,Boston College,ACC,fbs,28.0,DraftKings,-19.0,SMU -19,-15.5,54.5,,-1050.0,675.0,
742,401635580,2024,regular,12,2024-11-16T20:30:00.000Z,SMU,ACC,fbs,38.0,Boston College,ACC,fbs,28.0,Bovada,-19.0,SMU -19.0,-15.5,54.0,54.0,-750.0,500.0,
743,401635580,2024,regular,12,2024-11-16T20:30:00.000Z,SMU,ACC,fbs,38.0,Boston College,ACC,fbs,28.0,ESPN Bet,-19.5,SMU -19.5,-16.5,53.5,53.5,-1000.0,600.0,
744,401634128,2024,regular,13,2024-11-23T20:00:00.000Z,Northern Arizona,Big Sky,fcs,30.0,Eastern Washington,Big Sky,fcs,18.0,ESPN Bet,-5.5,Northern Arizona -5.5,,61.5,,,,
