id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401767536,2460,Northern Iowa,MVFC,home,38,17-28,,25,0-0,0,1,0,0,0,0,63,3,8,235,,2,4,28:17,0,0,1,,31,1,213,,,,6-10,0,2-24,448,0,8.4,6.9
401767547,79,Southern Illinois,MVFC,home,49,19-29,,24,1-2,0,3,1,41,0,0,73,2,7,238,,2,3,26:48,0,27,1,,35,3,148,,,,5-11,1,6-60,386,0,8.2,4.2
401767547,2646,Thomas More College,Great Midwest Athletic,away,3,18-29,,13,1-1,3,0,,,2,0,86,4,3,131,,,0,33:12,0,0,1,,32,0,60,,,,2-13,4,4-20,191,5,4.5,1.9
401767549,2385,Mercyhurst,NEC,away,15,32-48,,20,2-4,2,,,,2,0,84,4,1,311,,,2,34:14,0,6,1,,24,0,63,,,,6-14,,3-25,374,4,6.5,2.6
401767549,2754,Youngstown State,MVFC,home,24,14-21,,16,2-3,0,2,0,21,0,0,69,2,6,114,,2,0,25:46,0,10,1,,40,3,187,,,,4-12,0,8-78,301,0,5.4,4.7
401767572,2382,Mercer,Southern,home,10,22-36,,16,0-0,0,0,0,0,1,0,127,4,4,154,,1,1,24:10,0,47,2,,24,0,87,,,,4-13,2,5-41,241,1,4.3,3.6
401767572,2506,Presbyterian,Pioneer,away,15,25-38,,20,3-5,0,,0,0,1,0,11,1,3,303,,1,1,35:50,0,17,2,,33,1,113,,,,7-17,,7-55,416,1,8.0,3.4
401767602,46,Georgetown,Patriot,away,51,17-23,,23,1-1,0,1,0,10,0,0,19,1,8,261,,1,3,30:40,,,,,40,4,282,,,,8-12,0,5-53,543,0,11.3,7.1
401767602,2166,Davidson,Pioneer,home,14,19-31,,18,2-5,1,0,,,1,0,88,5,2,190,,,1,29:20,,,,,38,1,139,,,,4-14,1,6-50,329,2,6.1,3.7
401767620,389,Upper Iowa University,Great Lakes,away,7,18-30,,12,0-1,1,0,0,0,2,0,108,6,1,201,,1,1,24:27,0,5,2,,17,0,18,,,,4-11,2,5-45,219,3,6.7,1.1
