,id,teamId,team,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
169,401767190,311,Maine,CAA,home,10,15-26,,11,0-2,1,1,,,0,0,48,2,4,95,,,0,27:16,0,3,2,,29,1,171,,,,3-12,3,6-70,266,1,3.7,5.9
170,401767202,2241,Gardner-Webb,Big South-OVC,home,23,15-25,,16,1-1,0,1,,,0,0,32,1,11,216,,,2,28:23,0,0,1,,33,0,118,,,,4-13,0,4-18,334,0,8.6,3.6
171,401767202,2643,The Citadel,Southern,away,13,6-11,,14,0-1,1,0,,,0,0,12,1,1,97,,,1,31:37,0,20,3,,49,1,210,,,,6-14,1,3-27,307,1,8.8,4.3
172,401767217,2449,North Dakota State,MVFC,home,41,16-24,,22,1-1,0,,0,0,0,,,,11,348,,1,4,30:48,0,-3,1,,35,1,216,,,,2-10,,7-74,564,0,14.5,6.2
173,401767217,2546,Southeast Missouri State,Big South-OVC,away,14,13-25,,12,1-1,0,,,,1,0,45,3,2,153,,,1,29:12,0,0,1,,32,1,64,,,,6-15,,8-70,217,1,6.1,2.0
174,401767225,2010,Alabama A&M,SWAC,away,23,23-35,,19,1-1,0,1,0,0,0,0,39,2,11,355,,1,2,24:16,0,27,2,,26,0,70,,,,3-12,1,9-81,425,0,10.1,2.7
175,401767225,2634,Tennessee State,Big South-OVC,home,21,17-27,,21,0-0,1,0,,,1,0,135,5,3,157,,,1,35:44,0,2,2,,41,2,179,,,,7-15,2,4-35,336,2,5.8,4.4
176,401767232,2166,Davidson,Pioneer,away,14,16-27,,12,0-0,0,1,,,1,0,118,9,2,132,,,2,28:22,,,,,30,0,74,,,,3-14,1,5-50,206,1,4.9,2.5
177,401767232,2635,Tennessee Tech,Big South-OVC,home,72,25-37,,33,1-2,1,0,1,60,0,0,26,1,12,268,,1,3,31:38,0,23,3,,40,6,308,,,,8-12,1,4-45,576,1,7.2,7.7
178,401767235,79,Southern Illinois,MVFC,away,37,13-18,,22,1-1,1,1,0,0,2,0,64,2,7,217,,1,1,29:05,,,,,39,4,273,,,,4-9,1,7-47,490,3,12.1,7.0
179,401767235,2630,UT Martin,Big South-OVC,home,10,23-32,,16,0-2,1,1,0,13,1,,,,4,178,,2,1,30:55,0,20,1,,28,0,113,,,,5-13,1,8-55,291,2,5.6,4.0
180,401767237,2674,Valparaiso,Pioneer,away,30,18-27,,15,1-2,0,,0,19,0,0,149,4,,159,,2,1,30:26,,,,,33,2,122,,,,6-14,,9-60,281,0,5.9,3.7
181,401767237,2710,Western Illinois,Big South-OVC,home,51,14-23,,27,3-3,0,,,,2,0,116,5,,261,,,4,29:34,0,55,3,,41,3,246,,,,3-10,,5-31,507,2,11.3,6.0
182,401767248,2046,Austin Peay,UAC,home,56,18-23,,30,0-0,0,,0,23,0,0,15,1,8,271,,1,1,36:52,,,,,49,7,429,,,,10-12,,4-45,700,0,11.8,8.8
183,401767248,2413,Morehead State,Pioneer,away,7,19-31,,10,0-0,0,,,,1,,,,1,172,,,1,23:08,,,,,19,0,6,,,,3-13,,1-5,178,1,5.5,0.3
