,player_name,player_id,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate,id
34,Bryce Archie,9612926,7,13,37,3.1,0,2,36.4,6,1.5,3.083333333333333,0.0,0.1666666666666666,116
35,Byrum Brown,9760544,34,65,357,11.4,0,0,114.7,6,1.0619047619047617,11.40952380952381,0.0,0.0,116
36,CJ Bailey,55872311,196,302,2412,92.3,17,10,639.7,82,7.3171367521367525,92.30862637362637,0.6675335775335773,0.36957875457875444,1672
37,CJ Harris,9373576,19,31,184,12.3,0,1,62.7,15,1.1954545454545453,12.26818181818182,0.0,0.0909090909090909,50
38,CJ Ogbonna,4877296,6,20,55,2.8,0,1,7.0,2,0.3,2.75,0.0,0.05,2084
39,Cade Klubnik,74966608,352,553,4135,125.5,35,9,1229.8,110,10.31503805556681,125.58366595932134,1.1477388369004697,0.261273958497351,3648
40,Caden Davis,9141376,0,2,0,0.0,0,2,0.0,2,0.0,0.0,0.0,2.0,290
41,Caden Veltkamp,9739982,29,48,243,7.1000000000000005,2,2,70.2,6,1.0854700854700856,7.170940170940171,0.0512820512820512,0.0512820512820512,196
42,Caleb Hood,13786023,2,3,19,19.0,1,0,86.2,22,2.0,19.0,1.0,0.0,459
43,Caleb Junko,4880229,1,1,3,3.0,0,0,1.5,10,1.0,3.0,0.0,0.0,221
44,Cameron Skattebo,4696981,1,1,42,42.0,1,0,100.0,1,1.0,42.0,1.0,0.0,9
45,Cameron Ward,65637320,331,489,4698,136.9,42,8,1201.8,88,9.503508017077031,136.85704942295433,1.2865750842339037,0.20876015870053272,33460
46,Carson Beck,62031774,334,511,4004,110.0,35,12,1104.9,107,9.225666614011864,109.87640491670628,0.9742680360529002,0.2820954628901126,854
47,Chandler Rogers,22852770,12,25,117,15.1,0,0,196.9,43,1.5333333333333332,15.1,0.0,0.0,125
48,Chris Parson,4870889,0,2,0,0.0,0,0,1.1,1,0.0,0.0,0.0,0.0,344
49,Christian Veilleux,8865224,45,75,479,12.8,4,1,152.10000000000002,4,1.1929698708751793,12.737446197991392,0.1025824964131993,0.024390243902439,4494
50,Christopher Vizzina,24496845,19,34,190,26.4,0,0,230.1,34,3.6363636363636362,26.376623376623378,0.0,0.0,1140
51,Collin Schlee,26570634,28,56,414,33.8,3,1,160.7,37,1.8403361344537812,33.78221288515407,0.2433473389355741,0.0588235294117647,1554
52,Colton Joseph,5125715,1,2,12,6.0,0,0,3.1,3,0.5,6.0,0.0,0.0,295
53,Conner Harrell,19205224,21,37,282,24.5,2,1,112.8,13,1.9733333333333334,24.426666666666666,0.08,0.04,612
54,Conner Weigman,28113444,64,114,819,44.4,3,5,281.3,38,3.3372294372294373,44.44291486291486,0.1828571428571428,0.3466666666666666,1470
55,Connor Bazelak,4426444,20,36,250,6.9,1,1,73.9,4,0.5555555555555556,6.944444444444445,0.0277777777777777,0.0277777777777777,189
56,Connor Weselman,4686997,0,1,0,0.0,0,0,0.0,13,0.0,0.0,0.0,0.0,24
57,Cutter Boley,25706890,32,68,386,24.6,2,6,151.5,61,2.06984126984127,24.574603174603176,0.1428571428571428,0.4888888888888887,480
58,D.J. Lagway,71113770,132,220,2079,128.3,14,11,794.1,96,8.533817554994025,128.26809935162876,0.7889114806761863,0.8243070654835357,798
59,D.J. Uiagalelei,22145100,84,156,1065,34.3,4,6,172.5,14,2.7296296296296294,34.27989417989418,0.1275132275132274,0.19417989417989412,260
60,Darian Mensah,5121169,14,32,166,5.2,1,1,24.9,3,0.4375,5.1875,0.03125,0.03125,2655
