Rk,Player ID,Player,Team,Team_id,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
395,4427313,Ta'Quan Roberson,Kansas State,2306,Big 12,6,3,7,42.9,18,0,0,0,0,2.6,2.57,6,3,64.5,,taquan-roberson-1
390,4736246,Jacob Knuth,Kansas State,2306,Big 12,2,2,2,100,18,0,0,0,0,9,9,9,9,175.6,,jacob-knuth-1
52,4870857,Avery Johnson,Kansas State,2306,Big 12,13,217,372,58.3,2712,25,6.7,10,2.7,7.3,7.42,12.5,208.6,136.4,,avery-johnson-2
486,4566157,Luke Floriea,Kent State,2309,MAC,12,0,1,0,0,0,0,1,100,0,-45,,0,-200,,luke-floriea-1
189,4685693,Devin Kargman,Kent State,2309,MAC,4,45,82,54.9,432,3,3.7,2,2.4,5.3,4.9,9.6,108,106.3,,devin-kargman-1
456,4869599,Chrishon McCray,Kent State,2309,MAC,11,0,1,0,0,0,0,0,0,0,0,,0,0,,chrishon-mccray-1
123,5082965,Tommy Ulatowski,Kent State,2309,MAC,10,81,175,46.3,1353,15,8.6,8,4.6,7.7,7.39,16.7,135.3,130.4,,tommy-ulatowski-1
392,5092662,JD Sherrod,Kent State,2309,MAC,2,2,7,28.6,18,0,0,0,0,2.6,2.57,9,9,50.2,,jd-sherrod-1
283,5222398,Ruel Tomlinson,Kent State,2309,MAC,4,11,28,39.3,73,0,0,2,7.1,2.6,-0.61,6.6,18.3,46.9,,ruel-tomlinson-1
97,4432803,Kaidon Salter,Liberty,2335,CUSA,11,147,261,56.3,1886,15,5.7,6,2.3,7.2,7.34,12.8,171.5,131.4,,kaidon-salter-1
326,4602968,Nate Hampton,Liberty,2335,CUSA,2,2,9,22.2,40,1,11.1,1,11.1,4.4,1.67,20,20,74,,nate-hampton-1
279,4799987,Ryan Burger,Liberty,2335,CUSA,5,8,19,42.1,88,0,0,0,0,4.6,4.63,11,17.6,81,,ryan-burger-1
476,4431142,Jimmy Holiday,Louisiana Tech,2348,CUSA,13,0,1,0,0,0,0,0,0,0,0,,0,0,,jimmy-holiday-1
387,4687187,Marquis Crosby,Louisiana Tech,2348,CUSA,11,1,1,100,19,1,100,0,0,19,39,19,1.7,589.6,,marquis-crosby-1
89,5076949,Evan Bullock,Louisiana Tech,2348,CUSA,12,197,300,65.7,2104,14,4.7,3,1,7,7.5,10.7,175.3,138,,evan-bullock-1
182,5092781,Jack Turner,Louisiana Tech,2348,CUSA,7,40,76,52.6,471,2,2.6,2,2.6,6.2,5.54,11.8,67.3,108.1,,jack-turner-1
210,5150998,Blake Baker,Louisiana Tech,2348,CUSA,3,18,34,52.9,314,1,2.9,3,8.8,9.2,5.85,17.4,104.7,122.6,,blake-baker-1
122,5081504,Blake Horvath,Navy,2426,American,12,80,139,57.6,1353,13,9.4,4,2.9,9.7,10.31,16.9,112.8,164.4,,blake-horvath-1
462,5081508,Eli Heidenreich,Navy,2426,American,13,0,2,0,0,0,0,0,0,0,0,,0,0,,eli-heidenreich-1
406,5081526,Alex Tecza,Navy,2426,American,13,1,1,100,13,0,0,0,0,13,13,13,1,209.2,,alex-tecza-1
487,5158341,Luke Hutchison,Navy,2426,American,13,0,1,0,0,0,0,0,0,0,0,,0,0,,luke-hutchison-2
226,5158343,Braxton Woodson,Navy,2426,American,10,18,36,50,243,2,5.6,2,5.6,6.8,5.36,13.5,24.3,113.9,,braxton-woodson-1
207,4689585,Trexler Ivey,Charlotte,2429,American,8,34,59,57.6,326,3,5.1,2,3.4,5.5,5.02,9.6,40.8,114,,trexler-ivey-1
164,4875125,Max Brown,Charlotte,2429,American,5,43,93,46.2,561,3,3.2,6,6.5,6,3.77,13,112.2,94.6,,max-brown-1
101,5138131,Deshawn Purdie,Charlotte,2429,American,9,100,200,50,1802,10,5,6,3,9,8.66,18,200.2,136.2,,deshawn-purdie-1
82,4429149,Brendon Lewis,Nevada,2440,MWC,12,211,312,67.6,2290,16,5.1,7,2.2,7.3,7.36,10.9,190.8,141.7,,brendon-lewis-1
229,4430836,Chubba Purdy,Nevada,2440,MWC,7,18,25,72,239,1,4,1,4,9.6,8.56,13.3,34.1,157.5,,chubba-purdy-1
317,4571194,Marcus Bellon,Nevada,2440,MWC,13,1,2,50,44,1,50,0,0,22,32,44,3.4,399.8,,marcus-bellon-1
391,4581750,Jaden Smith,Nevada,2440,MWC,13,1,1,100,18,0,0,0,0,18,18,18,1.4,251.2,,jaden-smith-2
250,4819250,AJ Bianco,Nevada,2440,MWC,5,16,24,66.7,173,1,4.2,0,0,7.2,8.04,10.8,34.6,141,,aj-bianco-1
302,4433906,Trayvon Rudolph,Northern Illinois,2459,MAC,11,2,3,66.7,52,1,33.3,0,0,17.3,24,26,4.7,322.3,,trayvon-rudolph-1
110,4618083,Ethan Hampton,Northern Illinois,2459,MAC,11,144,247,58.3,1600,12,4.9,6,2.4,6.5,6.36,11.1,145.5,123.9,,ethan-hampton-1
309,4884086,Jalen Macon,Northern Illinois,2459,MAC,1,4,7,57.1,50,0,0,0,0,7.1,7.14,12.5,50,117.1,,jalen-macon-1
160,5151506,Josh Holst,Northern Illinois,2459,MAC,7,65,111,58.6,593,2,1.8,2,1.8,5.3,4.89,9.1,84.7,105.8,,josh-holst-1
8,4427238,Dillon Gabriel,Oregon,2483,Big Ten,14,326,447,72.9,3857,30,6.7,6,1.3,8.6,9.37,11.8,275.5,164.9,H-3,dillon-gabriel-1
499,4608810,Tez Johnson,Oregon,2483,Big Ten,12,0,1,0,0,0,0,0,0,0,0,,0,0,,tez-johnson-1
311,4870921,Dante Moore,Oregon,2483,Big Ten,5,7,8,87.5,49,0,0,0,0,6.1,6.13,7,9.8,139,,dante-moore-1
430,4912647,Austin Novosad,Oregon,2483,Big Ten,3,2,2,100,7,0,0,0,0,3.5,3.5,3.5,2.3,129.4,,austin-novosad-1
104,4429032,Hudson Card,Purdue,2509,Big Ten,10,144,248,58.1,1641,9,3.6,7,2.8,6.6,6.07,11.4,164.1,120,,hudson-card-1
357,4690801,Christian Gelov,Purdue,2509,Big Ten,1,1,3,33.3,26,0,0,0,0,8.7,8.67,26,26,106.1,,christian-gelov-1
171,5104738,Ryan Browne,Purdue,2509,Big Ten,8,43,76,56.6,532,4,5.3,2,2.6,7,6.87,12.4,66.5,127.5,,ryan-browne-1
428,5146753,Shamar Rigby,Purdue,2509,Big Ten,12,1,1,100,8,0,0,0,0,8,8,8,0.7,167.2,,shamar-rigby-1
294,4430512,Noah Smith,Sam Houston,2534,CUSA,11,1,2,50,64,1,50,0,0,32,42,64,5.8,483.8,,noah-smith-3
211,4709012,Jase Bauer,Sam Houston,2534,CUSA,7,40,65,61.5,310,2,3.1,1,1.5,4.8,4.69,7.8,44.3,108.7,,jase-bauer-1
444,4879931,Simeon Evans,Sam Houston,2534,CUSA,13,1,1,100,1,0,0,0,0,1,1,1,0.1,108.4,,simeon-evans-1
100,5220424,Hunter Watson,Sam Houston,2534,CUSA,12,175,281,62.3,1811,12,4.3,8,2.8,6.4,6.02,10.3,150.9,124.8,,hunter-watson-1
