player_id,player_name,team,conference,opponent,comp,att,yds,avg,td,int,qbr,week,completion_pct
5113896,Cole Lacrue,Eastern Illinois,Big South-OVC,Dayton,9,17,129,7.6,0,1,,1,0.5294117647058824
5154881,Bryce Schondelmyer,Dayton,Pioneer,Eastern Illinois,17,31,261,8.4,2,0,,1,0.5483870967741935
5231037,Isaac Lee,Western Carolina,Southern,Gardner-Webb,3,9,82,9.1,1,0,,1,0.3333333333333333
5159361,Bennett Judy,Western Carolina,Southern,Gardner-Webb,15,27,151,5.6,2,1,,1,0.5555555555555556
4602968,Nate Hampton,Gardner-Webb,Big South-OVC,Western Carolina,12,30,263,8.8,2,0,,1,0.4
4612078,JaCobian Morgan,Jackson State,SWAC,Hampton,15,30,143,4.8,0,0,,1,0.5
5098448,Isaiah Freeman,Hampton,CAA,Jackson State,10,17,117,6.9,1,1,,1,0.5882352941176471
4685309,Braden Davis,Hampton,CAA,Jackson State,11,12,84,7.0,0,0,,1,0.9166666666666666
5304430,Sedrick Hill Jr.,Arkansas Baptist,,Houston Christian,0,8,0,0.0,0,1,,1,0.0
5235807,Tyler Strickland,Arkansas Baptist,,Houston Christian,7,19,62,3.3,0,1,,1,0.3684210526315789
4691966,Maddox Kopp,Houston Christian,Southland,Arkansas Baptist,4,5,45,9.0,1,0,,1,0.8
4880516,Jake Weir,Houston Christian,Southland,Arkansas Baptist,10,16,84,5.3,1,1,,1,0.625
4881352,Jack Shields,UAlbany,CAA,Iowa,13,26,134,5.2,1,0,,1,0.5
4695400,Mark Gronowski,Iowa,Big Ten,UAlbany,8,15,44,2.9,1,0,24.5,1,0.5333333333333333
5083490,Ayden Pereira,Merrimack,FCS Independents,Kent State,15,31,176,5.7,1,0,,1,0.4838709677419355
5119841,Dru Deshields,Kent State,Mid-American,Merrimack,6,10,118,11.8,1,0,10.2,1,0.6
4710001,CJ Montes,Kent State,Mid-American,Merrimack,6,9,91,10.1,1,0,23.5,1,0.6666666666666666
4692052,Carter Peevy,Maine,CAA,Liberty,13,31,132,4.3,0,1,,1,0.41935483870967744
4832918,Ethan Vasko,Liberty,Conference USA,Maine,19,33,197,6.0,3,0,39.7,1,0.5757575757575758
4875127,Lanorris Sellers,South Carolina,SEC,Virginia Tech,12,19,209,11.0,1,0,75.7,1,0.631578947368421
4678010,Kyron Drones,Virginia Tech,ACC,South Carolina,15,35,221,6.3,0,2,44.0,1,0.42857142857142855
5095112,Zach Tanner,Robert Morris,NEC,West Virginia,7,21,70,3.3,0,0,,1,0.3333333333333333
4685459,Nicco Marchiol,West Virginia,Big 12,Robert Morris,17,20,224,11.2,1,0,62.1,1,0.85
5248199,Noah Gillon,App State,Sun Belt,Georgia Southern,4,7,64,9.1,0,2,4.3,1,0.5714285714285714
5147872,Matthew Wilson,App State,Sun Belt,Georgia Southern,12,22,128,5.8,0,2,59.5,1,0.5454545454545454
4685345,JC French,Georgia Southern,Sun Belt,App State,18,25,171,6.8,1,0,74.7,1,0.72
5044387,Anthony Colandrea,UNLV,Mountain West,Idaho State,15,21,195,9.3,1,0,54.0,1,0.7142857142857143
5158746,Jordan Cooke,Idaho State,Big Sky,UNLV,30,50,380,7.6,1,3,,1,0.6
5296376,Trey Kukuk,Louisiana Tech,Conference USA,Coastal Carolina,9,19,114,6.0,1,1,27.9,1,0.47368421052631576
4870793,Tad Hudson,Coastal Carolina,Sun Belt,Louisiana Tech,25,49,311,6.3,2,2,27.8,1,0.5102040816326531
5226365,Alex Flores,McNeese,Southland,Louisiana Christian,3,6,30,5.0,0,0,,1,0.5
4915622,Jake Strong,McNeese,Southland,Louisiana Christian,22,28,329,11.8,3,0,,1,0.7857142857142857
5303566,Phillip Jones II,Louisiana Christian,,McNeese,6,15,65,4.3,0,0,,1,0.4
5303570,Bryce Perkins,Louisiana Christian,,McNeese,3,12,57,4.8,0,1,,1,0.25
5157537,Caron Tyler,Valparaiso,Pioneer,Virginia Lynchburg,5,7,57,8.1,1,0,,1,0.7142857142857143
5089335,Rowan Keefe,Valparaiso,Pioneer,Virginia Lynchburg,5,9,56,6.2,1,1,,1,0.5555555555555556
5306367,Max Zavala,Virginia Lynchburg,,Valparaiso,12,22,68,3.1,0,2,,1,0.5454545454545454
5306370,Jabari Ruise,Virginia Lynchburg,,Valparaiso,4,7,68,9.7,0,0,,1,0.5714285714285714
4870889,Chris Parson,Austin Peay,UAC,Middle Tennessee,11,20,142,7.1,2,0,,1,0.55
4597247,Austin Smith,Austin Peay,UAC,Middle Tennessee,3,7,51,7.3,0,0,,1,0.42857142857142855
4682518,Nick Vattiato,Middle Tennessee,Conference USA,Austin Peay,15,36,104,2.9,2,0,3.6,1,0.4166666666666667
5156293,Jalen Woods,Southern,SWAC,Mississippi Valley State,9,13,70,5.4,0,0,,1,0.6923076923076923
4917305,Cam'Ron McCoy,Southern,SWAC,Mississippi Valley State,8,17,82,4.8,1,0,,1,0.47058823529411764
5220782,Brandon Nunez,Mississippi Valley State,SWAC,Southern,2,8,72,9.0,0,0,,1,0.25
5233879,Josh Brown,Mississippi Valley State,SWAC,Southern,12,25,146,5.8,2,0,,1,0.48
5083941,Collin Shannon,VMI,Southern,Navy,16,25,197,7.9,1,0,,1,0.64
5158343,Braxton Woodson,Navy,American Athletic,VMI,3,7,26,3.7,0,0,99.9,1,0.42857142857142855
5081504,Blake Horvath,Navy,American Athletic,VMI,6,7,66,9.4,1,0,66.5,1,0.8571428571428571
5156245,Richard Torres,Incarnate Word,Southland,Nicholls,23,35,175,5.0,0,3,,1,0.6571428571428571
4429191,Deuce Hogan,Nicholls,Southland,Incarnate Word,21,36,221,6.1,1,0,,1,0.5833333333333334
4431633,Will Crowder,Troy,Sun Belt,Nicholls,14,24,144,6.0,3,0,72.3,1,0.5833333333333334
